"name","brand","ean","price","grammage","category","sale","image"
"REWE Beste Wahl Blaumohn ganze Samen 250g","REWE Beste Wahl","4337256428583","2.49","250g (1 kg = 9,96 €)","Kochen & Backen","False","https://img.rewe-static.de/8737648/36263652_digital-image.png"
"Müller's Mühle Grüne Erbsen 500g","Müller's Mühle","4000286216993","1.99","500g (1 kg = 3,98 €)","Kochen & Backen","False","https://img.rewe-static.de/8109214/6614740_digital-image.png"
"Dr. Oetker Milchreis weniger süß 112g","Dr. Oetker","4000521013745","1.49","112g (1 kg = 13,30 €)","Kochen & Backen","False","https://img.rewe-static.de/2276481/23228528_digital-image.png"
"Ben's Original Spitzen-Langkorn-Reis im Beutel 20 Minuten 4x125g","Ben's Original","5410673004307","1.49","4x125g (1 kg = 2,98 €)","Kochen & Backen","True","https://img.rewe-static.de/1038907/33380828_digital-image.png"
"Küchle San-apart 125g","Küchle","40356709","1.19","125g (1 kg = 9,52 €)","Kochen & Backen","False","https://img.rewe-static.de/0160334/6789650_digital-image.png"
"Müller's Mühle Basmati Reis 500g","Müller's Mühle","4000286004644","2.29","500g (1 kg = 4,58 €)","Kochen & Backen","False","https://img.rewe-static.de/8983717/41174001_digital-image.png"
"Bürger Gnocchi mit Spinat & Basilikum 500g","Bürger","4075600122472","2.19","500g (1 kg = 4,38 €)","Kochen & Backen","False","https://img.rewe-static.de/8154339/29660553_digital-image.png"
"Sweet Family Nordzucker Krusten Kandis 500g","Sweet Family","4008671025205","2.39","500g (1 kg = 4,78 €)","Kochen & Backen","False","https://img.rewe-static.de/6998526/7472650_digital-image.png"
"Dr. Oetker Soße ohne Kochen Bourbon-Vanille 39g","Dr. Oetker","4000521009441","1.29","39g (1 kg = 33,08 €)","Kochen & Backen","False","https://img.rewe-static.de/1343622/20243189_digital-image.png"
"Sweet Family Puderzucker im Streuer 125g","Sweet Family","4008671061258","1.19","125g (1 kg = 9,52 €)","Kochen & Backen","False","https://img.rewe-static.de/4856724/3003080_digital-image.png"
"Küchenmeister Dinkelbrot Backmischung 1000g","Küchenmeister","4006363102067","1.49","1000g","Kochen & Backen","False","https://img.rewe-static.de/7211367/28083788_digital-image.png"
"REWE Beste Wahl Mohn gemahlen 250g","REWE Beste Wahl","4337256427777","2.49","250g (1 kg = 9,96 €)","Kochen & Backen","False","https://img.rewe-static.de/7807278/36263660_digital-image.png"
"REWE Bio Vanille Pudding 35g","REWE Bio","4388860737257","2.49","3x35g (1 kg = 23,71 €)","Kochen & Backen","False","https://img.rewe-static.de/8041125/30496350_digital-image.png"
"REWE Bio Chia-Samen 300g","REWE Bio","4337256643962","2.39","300g (1 kg = 7,97 €)","Kochen & Backen","False","https://img.rewe-static.de/8185452/28936661_digital-image.png"
"Dr. Oetker Kaiserschmarrn nach klassischer Art 165g","Dr. Oetker","4000521775001","1.49","165g (1 kg = 9,03 €)","Kochen & Backen","False","https://img.rewe-static.de/3134172/4784920_digital-image.png"
"Pfanni Kartoffel Gratin 2x200g","Pfanni","4000400162397","2.49","400g (1 kg = 6,23 €)","Kochen & Backen","False","https://img.rewe-static.de/0532075/3870740_digital-image.png"
"Dr. Oetker Extra Gelier-Zucker 2:1 500g","Dr. Oetker","4000521730000","2.19","500g (1 kg = 4,38 €)","Kochen & Backen","False","https://img.rewe-static.de/3737497/33224276_digital-image.png"
"borchers Bio Xylit Birkenzucker 250g","borchers fine food GmbH & Co. KG","4260175671986","4.79","250g (1 kg = 19,16 €)","Kochen & Backen","False","https://img.rewe-static.de/7646383/41020100_digital-image.png"
"Davert Bio Rote Linsen 500g","Davert","4019339490129","3.49","500g (1 kg = 6,98 €)","Kochen & Backen","False","https://img.rewe-static.de/8767009/13400740_digital-image.png"
"Bauckhof Bio Backmischung Wunderbrot glutenfrei 600g","Bauckhof","4015637826417","3.99","600g (1 kg = 6,65 €)","Kochen & Backen","False","https://img.rewe-static.de/3349872/27588643_digital-image.png"
"Dr. Oetker Paradiescreme Dessert Zitronen-Geschmack 72,5g","Dr. Oetker","4000521467401","1.19","72,50g (1 kg = 16,41 €)","Kochen & Backen","False","https://img.rewe-static.de/3010333/1861490_digital-image.png"
"Ruf Schokoladen Streusel 500g","Ruf","4002809024801","4.49","500g (1 kg = 8,98 €)","Kochen & Backen","False","https://img.rewe-static.de/3279474/28584332_digital-image.png"
"Ostmann Hirschhornsalz 15g","Ostmann","4002674122671","1.89","15g (1 kg = 126 €)","Kochen & Backen","False","https://img.rewe-static.de/2276204/23328841_digital-image.png"
"Dr. Oetker Marmor-Wolke Backmischung 455g","Dr. Oetker","4000521004842","3.29","455g (1 kg = 7,23 €)","Kochen & Backen","False","https://img.rewe-static.de/0731040/5820640_digital-image.png"
"Pickerd Lieblingsstreusel Knallkonfetti 110g","Pickerd","4022500140204","3.29","110g (1 kg = 29,91 €)","Kochen & Backen","False","https://img.rewe-static.de/8632974/33527604_digital-image.png"
"borchers Stevia Süßstofftabletten 7,2g, 144 Tabletten","borchers fine food GmbH & Co. KG","4260175671894","1.69","7,20g","Kochen & Backen","False","https://img.rewe-static.de/8980733/40625230_digital-image.png"
"Campo Verde Bio Demeter Dinkelmehl Typ 630 1kg","Campo Verde","4045178004050","3.49","1000g","Kochen & Backen","False","https://img.rewe-static.de/2077678/30596968_digital-image.png"
"Sweet Family Brauner Teezucker 500g","Sweet Family","4008671014056","1.29","500g (1 kg = 2,58 €)","Kochen & Backen","False","https://img.rewe-static.de/4588819/1447610_digital-image.png"
"Sweet Family Gelierzucker 2:1 500g","Sweet Family","4008671063009","1.19","500g (1 kg = 2,38 €)","Kochen & Backen","False","https://img.rewe-static.de/4602200/3540410_digital-image.png"
"Dr. Oetker Quarkfein Vanille-Geschmack 57g","Dr. Oetker","4000521820206","1.29","57g (1 kg = 22,63 €)","Kochen & Backen","False","https://img.rewe-static.de/4567358/7478200_digital-image.png"
"Dr. Oetker LoVE it! Backmischung Brownies vegan 480g","Dr. Oetker","4000521032340","3.79","480g (1 kg = 7,90 €)","Kochen & Backen","False","https://img.rewe-static.de/8784209/37700270_digital-image.png"
"Ruf Raspel-Schokolade weiß 100g","Ruf","4002809024399","1.39","100g (1 kg = 13,90 €)","Kochen & Backen","False","https://img.rewe-static.de/2201299/22970615_digital-image.png"
"Dr. Oetker Seelenwärmer Pudding Sahne-Mandel-Geschmack 59g","Dr. Oetker","4000521021344","0.99","58g (1 kg = 17,07 €)","Kochen & Backen","False","https://img.rewe-static.de/7289392/28527243_digital-image.png"
"Dr. Oetker Mousse au Chocolat feinherb 86g","Dr. Oetker","4000521475505","1.19","86g (1 kg = 13,84 €)","Kochen & Backen","True","https://img.rewe-static.de/4924959/3940660_digital-image.png"
"Dr. Oetker Mousse à la Vanille 60g","Dr. Oetker","4000521476007","1.19","60g (1 kg = 19,83 €)","Kochen & Backen","True","https://img.rewe-static.de/5188415/4771430_digital-image.png"
"Decocino's Party-Mix mit soften Perlen 95g","Decocino","4250448338661","2.99","95g (1 kg = 31,47 €)","Kochen & Backen","False","https://img.rewe-static.de/8562633/33090917_digital-image.png"
"3 Glocken Genuss Pur Maccaroni 500g","3 Glocken","4002966004371","1.89","500g (1 kg = 3,78 €)","Kochen & Backen","False","https://img.rewe-static.de/4245091/6010770_digital-image.png"
